sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,m_type2_onset_time,dh_type2_onset_time,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end
gsep_001,psep_012,,1986-02-04 09:25:00,,,,,,,,,,,,1986-02-04 07:35:00,1986-02-04 07:40:00,5,-21,-3,X3.0,,,,,6.27,1.82,,,141000,52200.0,,,8.0,1986-02-04 11:40:00,,,0,S,,,,AR from LMSAL,1986-02-03 21:25:00,1986-02-04 17:45:00
gsep_002,psep_013,,1986-02-05 02:00:00,,,,,,,,,,,,1986-02-05 12:37:00,1986-02-05 12:53:00,16,-6,-7,M3.0,4711,FALSE,,,6.47,1.35,,,287000,,,,6.81,1986-02-05 23:00:00,,,0,S,,,,AR from LMSAL,1986-02-04 14:00:00,1986-02-06 08:35:00
gsep_003,psep_014,,1986-02-06 08:35:00,,,,,,,,,,,,1986-02-06 06:18:00,1986-02-06 06:25:00,7,2,-7,X1.7,4711,FALSE,,130,83.97,14.02,3.22,1.22,3600000,727000.0,197000.0,67000.0,131.0,1986-02-06 23:00:00,,,1,S,,Spike,,AR from LMSAL,1986-02-05 20:35:00,1986-02-07 13:25:00
gsep_004,psep_015,,1986-02-07 13:00:00,,,,,,,,,,,,1986-02-07 10:11:00,1986-02-07 10:29:00,18,21,-11,M5.2,4711,FALSE,,,125.92,25.0,5.56,1.53,6620000,973000.0,255000.0,93900.0,196.0,1986-02-07 17:20:00,,,0,S,Taken by 6,,,AR from LMSAL,1986-02-07 01:00:00,1986-02-08 22:20:00
gsep_005,psep_016,,1986-02-10 21:00:00,,,,,,,,,,,,1986-02-10 20:25:00,1986-02-10 20:48:00,23,32,-1,C9.5,4713,FALSE,,,5.14,1.87,0.76,0.35,271000,111000.0,53500.0,27100.0,5.62,1986-02-10 22:50:00,,,0,S,,Spike,,AR from LMSAL,1986-02-10 09:00:00,1986-02-12 06:00:00
gsep_006,psep_017,,1986-02-14 10:35:00,,,,,,,,,,,,1986-02-14 09:10:00,1986-02-14 09:21:00,11,76,1,M6.4,4713,FALSE,,130,166.57,17.62,3.64,1.09,12600000,1390000.0,371000.0,150000.0,287.0,1986-02-14 21:10:00,,,1,S,,Spike,,AR from LMSAL,1986-02-13 22:35:00,1986-02-16 12:35:00
gsep_007,psep_018,,1986-03-06 18:05:00,,,,,,,,,,,,1986-03-06 16:37:00,1986-03-06 17:02:00,25,-1,2,C4.6,4717,FALSE,,21,19.38,2.49,0.76,,412000,111000.0,55500.0,,32.1,1986-03-06 18:45:00,,,1,S,,Brief data gap,,AR from LMSAL,1986-03-06 06:05:00,1986-03-07 00:05:00
gsep_008,psep_019,,1986-05-04 10:45:00,,,,,,,,,,,,1986-05-04 09:39:00,1986-05-04 10:07:00,28,90,9,M1.2,4727,FALSE,,16,13.1,3.17,1.14,0.49,578000,236000.0,118000.0,61400.0,18.8,1986-05-04 15:10:00,,,1,S,,,,AR from LMSAL; Flare location from Kurt et al. (2004),1986-05-03 22:45:00,1986-05-04 19:45:00
gsep_009,psep_020,,1987-11-07 22:00:00,,,,,,,,,,,,1987-11-07 20:28:00,1987-11-07 20:30:00,2,90,31,M1.2,4875,FALSE,,120,78.11,3.94,,,2450000,311000.0,,,41.0,1987-11-08 09:40:00,,,1,P,,,,AR from LMSAL,1987-11-07 10:00:00,1987-11-08 18:55:00
gsep_010,psep_021,,1987-12-30 02:15:00,,,,,,,,,,,,1987-12-30 01:42:00,1987-12-30 01:49:00,7,-32,-36,C4.1,4912,FALSE,,,7.34,,,,587000,,,,2.55,1987-12-31 06:00:00,,,0,P,,,,AR from LMSAL,1987-12-29 14:15:00,1988-01-01 00:00:00
