ar_time,noaa_ar_no,central_meridian_dist,latitude,corr_whole_spot_area,mcintosh,LL,number_of_spots,greenwich,original_central_meridian_dist,original_latitude
1996-01-02,7933,76,-12,,NONE,,,PLAGE,,
1996-01-02,7934,53,-4,,NONE,,,PLAGE,,
1996-01-02,7935,6,11,10,BXO,8,4,BETA,,
1996-01-02,7937,-49,-9,0,AXX,1,1,ALPHA,,
1996-01-03,7933,89,-12,,NONE,,,PLAGE,,
1996-01-03,7934,60,-8,0,AXX,0,1,ALPHA,,
1996-01-03,7935,15,11,0,AXX,1,2,ALPHA,,
1996-01-03,7937,-35,-8,0,AXX,0,1,ALPHA,,
1996-01-04,7934,73,-8,,NONE,,,PLAGE,,
1996-01-04,7935,28,11,,NONE,,,PLAGE,,
1996-01-04,7937,-22,-8,,NONE,,,PLAGE,,
1996-01-04,7938,15,12,110,DSI,6,20,BETA,,
1996-01-05,7935,41,11,,NONE,,,PLAGE,,
1996-01-05,7937,-9,-8,,NONE,,,PLAGE,,
1996-01-05,7938,27,12,190,DAI,8,21,BETA,,
1996-01-05,7939,-6,4,30,BXO,4,7,BETA,,
1996-01-06,7935,54,11,,NONE,,,PLAGE,,
1996-01-06,7937,4,-8,,NONE,,,PLAGE,,
1996-01-06,7938,41,12,270,DSI,9,26,BETA,,
1996-01-06,7939,8,3,140,CSI,8,23,BETA,,
1996-01-07,7935,67,11,,NONE,,,PLAGE,,
1996-01-07,7937,17,-8,,NONE,,,PLAGE,,
1996-01-07,7938,54,12,270,DKI,9,16,BETA,,
1996-01-07,7939,21,3,120,CSO,9,21,BETA,,
1996-01-08,7935,80,11,,NONE,,,PLAGE,,
1996-01-08,7937,30,-8,,NONE,,,PLAGE,,
1996-01-08,7938,68,12,110,CSO,9,10,BETA,,
1996-01-08,7939,34,2,110,CAO,8,15,BETA,,
1996-01-09,7937,43,-8,,NONE,,,PLAGE,,
1996-01-09,7938,83,13,80,CAO,8,6,BETA,,
1996-01-09,7939,48,3,90,CSO,7,13,BETA,,
1996-01-09,7940,21,9,10,BXO,3,4,BETA,,
1996-01-10,7937,56,-8,,NONE,,,PLAGE,,
1996-01-10,7939,62,3,50,CSO,7,6,BETA,,
1996-01-10,7940,35,10,0,AXX,0,1,ALPHA,,
1996-01-11,7937,69,-8,,NONE,,,PLAGE,,
1996-01-11,7939,76,2,0,BXO,2,3,BETA,,
1996-01-11,7940,48,10,,NONE,,,PLAGE,,
1996-01-12,7937,82,-8,,NONE,,,PLAGE,,
1996-01-12,7939,89,2,,NONE,,,PLAGE,,
1996-01-12,7940,61,10,,NONE,,,PLAGE,,
1996-01-13,7937,95,-8,,NONE,,,PLAGE,,
1996-01-13,7940,74,10,,NONE,,,PLAGE,,
1996-01-14,7940,87,10,,NONE,,,PLAGE,,
1996-01-18,7941,-11,-7,0,AXX,0,1,ALPHA,,
1996-01-19,7941,2,-7,,NONE,,,PLAGE,,
1996-01-20,7941,15,-7,,NONE,,,PLAGE,,
1996-01-21,7941,28,-7,,NONE,,,PLAGE,,
1996-01-22,7942,25,0,10,BXO,3,4,BETA,,
1996-01-23,7942,38,0,0,BXO,3,3,BETA,,
1996-01-24,7942,51,0,,NONE,,,PLAGE,,
1996-01-25,7942,64,0,,NONE,,,PLAGE,,
1996-01-25,7943,-63,12,0,AXX,0,1,ALPHA,,
1996-01-26,7942,77,0,,NONE,,,PLAGE,,
1996-01-26,7943,-51,12,0,AXX,1,1,ALPHA,,
1996-01-27,7942,90,0,,NONE,,,PLAGE,,
1996-01-27,7943,-37,11,0,AXX,0,1,ALPHA,,
1996-01-28,7943,-23,11,0,AXX,0,1,ALPHA,,
1996-01-29,7943,-10,11,0,AXX,0,1,ALPHA,,
1996-01-30,7943,4,11,0,AXX,1,2,ALPHA,,
1996-01-31,7943,17,10,0,AXX,0,1,ALPHA,,
1996-01-31,7944,42,8,10,BXO,4,5,BETA,,
1996-02-01,7943,30,10,,NONE,,,PLAGE,,
1996-02-01,7944,58,8,30,BXO,4,4,BETA,,
1996-02-02,7943,43,10,,NONE,,,PLAGE,,
1996-02-02,7944,70,8,80,CSO,7,5,BETA,,
1996-02-03,7943,55,9,,NONE,,,PLAGE,,
1996-02-03,7944,85,9,30,CAO,6,5,BETA,,
1996-02-04,7943,69,9,,NONE,,,PLAGE,,
1996-02-05,7943,82,9,,NONE,,,PLAGE,,
1996-02-16,7945,5,6,0,AXX,0,1,ALPHA,,
1996-02-17,7945,18,6,,NONE,,,PLAGE,,
1996-02-18,7945,31,6,,NONE,,,PLAGE,,
1996-02-19,7945,44,6,,NONE,,,PLAGE,,
1996-02-20,7945,57,6,,NONE,,,PLAGE,,
1996-02-20,7946,-71,9,0,BXO,7,2,BETA,,
1996-02-21,7945,70,6,,NONE,,,PLAGE,,
1996-02-21,7946,-57,9,20,BXO,7,4,BETA,,
1996-02-22,7945,83,6,,NONE,,,PLAGE,,
1996-02-22,7946,-44,8,20,BXO,8,5,BETA,,
1996-02-22,7947,41,-14,0,AXX,0,1,ALPHA,,
1996-02-23,7946,-30,8,10,BXO,6,4,BETA,,
1996-02-23,7947,56,-13,10,BXO,1,2,BETA,,
1996-02-24,7946,-18,10,10,AXX,1,2,ALPHA,,
1996-02-24,7947,69,-13,,NONE,,,PLAGE,,
1996-02-25,7946,-4,10,0,AXX,0,1,ALPHA,0,12
1996-02-25,7948,27,9,40,CAO,5,8,BETA,,
1996-02-26,7946,10,10,0,AXX,0,1,ALPHA,15,12
1996-02-26,7948,40,9,60,CAO,7,8,BETA,,
1996-02-27,7946,22,10,0,AXX,1,1,ALPHA,25,13
1996-02-27,7948,54,10,40,DRO,7,5,BETA,,
1996-02-28,7946,36,11,,NONE,,,PLAGE,38,13
1996-02-28,7948,67,10,10,BXO,7,3,BETA,,
1996-02-29,7946,51,13,,NONE,,,PLAGE,,
1996-02-29,7948,83,10,,NONE,,,PLAGE,,
1996-02-29,7949,-5,-11,0,AXX,0,1,ALPHA,,
1996-03-01,7946,65,13,0,AXX,0,1,ALPHA,53,7
1996-03-01,7948,96,10,,NONE,,,PLAGE,,
1996-03-01,7949,7,-12,20,BXO,4,6,BETA,,
1996-03-02,7946,79,13,,NONE,,,PLAGE,66,7
1996-03-02,7949,20,-11,,NONE,,,PLAGE,,
1996-03-03,7946,93,13,,NONE,,,PLAGE,79,7
1996-03-03,7949,33,-11,,NONE,,,PLAGE,,
1996-03-04,7949,46,-11,,NONE,,,PLAGE,,
1996-03-05,7949,59,-11,,NONE,,,PLAGE,,
1996-03-06,7949,72,-11,,NONE,,,PLAGE,,
1996-03-07,7949,85,-11,,NONE,,,PLAGE,,
1996-03-07,7950,64,9,10,AXX,1,2,ALPHA,,
1996-03-07,7951,-2,-2,10,BXO,2,2,BETA,,
1996-03-08,7950,77,9,,NONE,,,PLAGE,,
1996-03-08,7951,11,-2,,NONE,,,PLAGE,,
1996-03-09,7951,24,-2,,NONE,,,PLAGE,,
1996-03-10,7951,37,-2,,NONE,,,PLAGE,,
1996-03-11,7951,50,-2,,NONE,,,PLAGE,,
1996-03-12,7952,-37,-3,30,BXO,7,8,BETA,,
1996-03-13,7952,-22,-3,80,DAO,9,17,BETA,,
1996-03-14,7952,-9,-4,80,DSO,10,14,BETA,,
1996-03-15,7952,4,-4,60,DAO,10,7,BETA,,
1996-03-16,7952,14,-7,60,CSO,9,5,BETA,,
1996-03-17,7952,32,-4,40,CSO,8,5,BETA,,
1996-03-18,7952,48,-4,20,HRX,1,2,ALPHA,,
1996-03-19,7952,61,-5,0,AXX,1,1,ALPHA,,
1996-03-20,7952,74,-4,10,AXX,0,1,ALPHA,,
1996-03-21,7952,87,-4,,NONE,,,PLAGE,,
1996-03-22,7953,-24,7,10,BXO,3,5,BETA,,
1996-03-23,7953,-10,8,60,DSI,6,11,BETA-GAMMA,,
1996-03-24,7953,2,7,110,CSO,7,14,BETA-GAMMA,,
1996-03-25,7953,17,7,100,DSO,7,7,BETA,,
1996-03-26,7953,30,7,90,DAO,7,7,BETA,,
1996-03-27,7953,42,7,80,CAO,7,5,BETA,,
1996-03-27,7954,25,2,40,CAO,4,7,BETA,,
1996-03-28,7953,58,7,70,CSO,7,4,BETA,,
1996-03-28,7954,39,1,30,CRO,4,5,BETA,,
1996-03-29,7953,72,8,60,HSX,2,1,ALPHA,,
1996-03-29,7954,53,0,10,BXO,3,3,BETA,,
1996-03-30,7953,85,8,30,AXX,1,1,ALPHA,,
1996-03-30,7954,65,1,0,AXX,0,1,ALPHA,,
1996-03-31,7953,98,8,,NONE,,,PLAGE,,
1996-03-31,7954,80,2,,NONE,,,PLAGE,,
1996-04-02,7955,43,2,10,BXO,3,3,BETA,,
1996-04-03,7955,56,1,10,BXO,4,4,BETA,,
1996-04-04,7955,70,0,20,BXO,4,4,BETA,,
1996-04-05,7955,83,1,10,AXX,0,1,ALPHA,,
1996-04-06,7955,96,1,,NONE,,,PLAGE,,
1996-04-13,7956,-35,8,10,BXO,3,3,BETA,,
1996-04-14,7956,-21,6,10,CRO,3,3,BETA,,
1996-04-15,7956,-8,6,,NONE,,,PLAGE,,
1996-04-16,7956,6,6,,NONE,,,PLAGE,,
1996-04-17,7956,21,7,0,AXX,2,2,ALPHA,,
1996-04-18,7956,36,5,10,BXO,4,4,BETA,,
1996-04-19,7956,50,5,10,BXO,5,4,BETA,,
1996-04-19,7957,49,-10,10,BXO,4,5,BETA,,
1996-04-20,7956,62,4,0,AXX,0,1,ALPHA,,
1996-04-20,7957,63,-9,20,BXO,5,5,BETA,,
1996-04-21,7956,75,4,,NONE,,,PLAGE,,
1996-04-21,7957,80,-9,0,AXX,0,1,ALPHA,,
1996-04-21,7958,55,-7,40,BXO,5,7,BETA,,
1996-04-22,7956,88,4,,NONE,,,PLAGE,,
1996-04-22,7957,93,-9,,NONE,,,PLAGE,,
1996-04-22,7958,70,-7,140,DAO,7,8,BETA,,
1996-04-23,7958,82,-6,140,DAO,8,5,BETA,,
1996-04-24,7958,93,-8,30,AXX,2,2,ALPHA,,
1996-04-25,7959,57,7,0,AXX,0,1,ALPHA,,
1996-04-26,7959,70,7,,NONE,,,PLAGE,,
1996-04-27,7959,83,7,,NONE,,,PLAGE,,
1996-04-30,7960,-24,4,,NONE,,,PLAGE,,
1996-05-01,7960,-11,4,,NONE,,,PLAGE,,
1996-05-02,7960,2,4,,NONE,,,PLAGE,,
1996-05-03,7960,15,4,,NONE,,,PLAGE,,
1996-05-04,7960,28,4,,NONE,,,PLAGE,,
1996-05-05,7960,41,4,,NONE,,,PLAGE,,
1996-05-06,7960,54,4,,NONE,,,PLAGE,,
1996-05-06,7961,-12,12,0,AXX,2,2,ALPHA,,
1996-05-07,7960,67,4,,NONE,,,PLAGE,,
1996-05-07,7961,2,13,10,BXO,5,5,BETA,,
1996-05-07,7962,-77,-4,40,HSX,2,1,ALPHA,,
1996-05-08,7960,80,4,,NONE,,,PLAGE,,
1996-05-08,7961,13,16,0,AXX,2,3,ALPHA,,
1996-05-08,7962,-67,-5,110,CSO,9,4,BETA,,
1996-05-09,7961,26,16,,NONE,,,PLAGE,,
1996-05-10,7961,39,16,,NONE,,,PLAGE,,
1996-05-10,7962,-40,-7,130,CSO,7,7,BETA,,
1996-05-11,7961,52,16,,NONE,,,PLAGE,,
1996-05-11,7962,-28,-6,120,CSO,8,11,BETA-DELTA,,
1996-05-11,7963,-42,25,10,BXO,3,2,BETA,,
1996-05-12,7961,65,16,,NONE,,,PLAGE,,
1996-05-12,7962,-14,-7,140,DSO,10,19,BETA-GAMMA,,
1996-05-12,7963,-26,25,0,AXX,2,2,ALPHA,,
1996-05-12,7964,-26,-7,0,AXX,0,2,ALPHA,,
1996-05-13,7961,78,16,,NONE,,,PLAGE,,
1996-05-13,7962,1,-7,110,CSO,7,13,BETA,,
1996-05-13,7963,-13,25,,NONE,,,PLAGE,,
1996-05-13,7964,-14,-6,0,AXX,0,2,ALPHA,,
1996-05-14,7962,15,-6,100,CAO,7,13,BETA,,
1996-05-14,7963,0,25,,NONE,,,PLAGE,,
1996-05-14,7964,0,-7,0,AXX,0,5,ALPHA,,
1996-05-15,7962,29,-6,90,CSO,6,9,BETA,,
1996-05-15,7963,13,25,,NONE,,,PLAGE,,
1996-05-15,7964,13,-8,0,AXX,0,1,ALPHA,,
1996-05-16,7962,43,-6,30,CAO,6,5,ALPHA,,
1996-05-16,7963,26,25,,NONE,,,PLAGE,,
1996-05-16,7964,27,-7,0,AXX,0,1,ALPHA,,
1996-05-17,7962,56,-5,30,HSX,5,4,ALPHA,,
1996-05-17,7963,39,25,,NONE,,,PLAGE,,
1996-05-17,7964,40,-7,,NONE,,,PLAGE,,
1996-05-18,7962,70,-6,20,HSX,4,2,ALPHA,,
1996-05-18,7963,52,25,,NONE,,,PLAGE,,
1996-05-18,7964,53,-7,,NONE,,,PLAGE,,
1996-05-19,7962,83,-6,,NONE,,,PLAGE,,
1996-05-19,7963,65,25,,NONE,,,PLAGE,,
1996-05-19,7964,66,-7,,NONE,,,PLAGE,,
1996-05-20,7962,96,-6,,NONE,,,PLAGE,,
1996-05-20,7963,78,25,,NONE,,,PLAGE,,
1996-05-20,7964,79,-7,,NONE,,,PLAGE,,
1996-05-21,7963,91,25,,NONE,,,PLAGE,,
1996-05-21,7964,92,-7,,NONE,,,PLAGE,,
1996-05-23,7965,-52,-38,0,AXX,0,1,ALPHA,,
1996-05-25,7965,-26,-38,,NONE,,,PLAGE,,
1996-05-25,7966,-47,-11,,NONE,,,PLAGE,,
1996-05-26,7965,-13,-38,,NONE,,,PLAGE,,
1996-05-26,7966,-34,-11,,NONE,,,PLAGE,,
1996-05-27,7965,0,-38,,NONE,,,PLAGE,,
1996-05-27,7966,-21,-11,,NONE,,,PLAGE,,
1996-05-28,7965,13,-38,,NONE,,,PLAGE,,
1996-05-28,7966,-8,-11,,NONE,,,PLAGE,,
1996-05-29,7965,26,-38,,NONE,,,PLAGE,,
1996-05-29,7966,5,-11,,NONE,,,PLAGE,,
1996-05-30,7965,39,-38,,NONE,,,PLAGE,,
1996-05-30,7966,18,-11,,NONE,,,PLAGE,,
1996-06-02,7967,-27,35,0,AXX,0,1,ALPHA,,
1996-06-03,7967,-13,35,0,AXX,0,1,ALPHA,,
1996-06-04,7967,0,35,,NONE,,,PLAGE,,
1996-06-04,7968,-41,2,0,AXX,0,3,ALPHA,,
1996-06-05,7967,13,35,,NONE,,,PLAGE,,
1996-06-05,7968,-28,2,10,BXO,4,2,BETA,,
1996-06-05,7969,33,9,0,AXX,0,1,ALPHA,,
1996-06-06,7967,26,35,,NONE,,,PLAGE,,
1996-06-06,7968,-12,3,20,CRO,5,4,BETA,,
1996-06-06,7969,44,8,10,BXO,2,4,BETA,,
1996-06-07,7967,39,35,,NONE,,,PLAGE,,
1996-06-07,7968,1,3,50,DSO,6,9,BETA,,
